id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.00,0.05
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.45,0.04
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.02,0.05
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.62,0.03
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.00,0.06
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.88,0.04
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.72,0.04
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.55,0.04
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.78,0.03
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.01,0.05
11,Concrete Jungle,Verse One,hip-hop,melancholic,0.68,92,0.32,0.74,0.12,0.02,0.28
12,Velvet Nights,Sable June,r&b,romantic,0.52,85,0.70,0.76,0.30,0.01,0.08
13,Moonlit Sonata,Clara Voss,classical,peaceful,0.18,58,0.55,0.28,0.98,0.96,0.04
14,Dusty Backroads,Wren Hollis,country,nostalgic,0.55,96,0.62,0.61,0.72,0.05,0.06
15,Iron Sermon,Fault Line,metal,aggressive,0.97,168,0.22,0.48,0.03,0.08,0.05
16,Pulse Protocol,Grid Nine,electronic,energetic,0.89,128,0.75,0.92,0.04,0.85,0.04
17,Willow and Rain,Ember Cross,folk,melancholic,0.30,76,0.38,0.44,0.91,0.12,0.05
18,Rise Up Sunday,Juno Ray,soul,uplifting,0.72,104,0.88,0.80,0.48,0.04,0.07
